COUNTRY,GLOBAL MARKET,QUANTITY,S.NO.,SALES CHANNEL,CUSTOMER NAME,PAYMENT METHOD,SALES MODEL,CATEGORY,PAYMENT STATUS,SHIPPING STATUS,UNIT PRICE,TOTAL REVENUE,DISCOUNT AMOUNT,DISCOUNT APPLIED,TAX APPLIED,TAX AMOUNT,NET SALES,GROSS SALES,PROFIT,ORDER DATE,DELIVERY DATE,RATING,REFERRAL SOURCE ,REPEAT PURCHASE,COURIER PARTNER,AVERAGE ORDER VALUE,CITY,CUSTOMER TYPE,DELIVERY TYPE,SUB CATEGORY,CURRENCY,COUPON CODE USED,SOURCE OF TRAFFIC,STOCK AVAILIBILITY,CUSTOMER REVIEW COMMENT,SHIPPING AMOUNT,EMI STATUS,CUSTOMER AGE 
China,50,237,1,Alibaba,Kenzo Vaughn,Debit Card,B2B,Industrial goods,Cancelled,DELIVERED,48402,11471274,7260.3,15%,18%,2064829.32,11464013.7,41141.7,9406444.68,01-01-2023,05-01-2023,1,app,yes,FedEx,48402,Shanghai,NEW,STANDARD,Machinery & Equipment,Chinese Yuan,yes,google ads,no,GOOD,484.02,Yes,18
US,27,271,2,amazon,Priya Carter,Cryptocurreny,B2C AND C2C,BOOKS,Paid,IN TRANSIT,38684,10483364,5802.6,15%,18%,1887005.52,10477561.4,32881.4,8596358.48,02-01-2023,06-01-2023,1.5,Website,no,Blue Dart,38684,Los Angeles,RETURNING,EXPRESS,fiction,Dollar,no,email,yes,BAD,386.84,No,20
Japan,3.9,142,3,Rakuten,Elina Vaughn,COD,B2C AND C2C,sports goods,Pending,RETURNED,29502,4189284,4425.3,15%,18%,754071.12,4184858.7,25076.7,3435212.88,03-01-2023,07-01-2023,2,Social Media,yes,Ecom Express,29502,Tokyo,RETURNING,Locker Delivery,Fitness & Training,Japanese Yen,yes,Influencer blogs,no,WORST,295.02,Not Available,31
UK,2.9,180,4,Tesco,Mei Ferraro,Credit Card,B2C,clothing,Paid,RETURNED,36075,6493500,5411.25,15%,18%,1168830,6488088.75,30663.75,5324670,04-01-2023,08-01-2023,0.3,Direct,no,Xpressbees,36075,London,NEW,Scheduled Delivery,T-Shirts & Polos,British Pound Sterling,no,directly,yes,EXCELLENT,360.75,Pre-Approved EMI,30
South Korea,4.2,275,5,Gmarket,Alina Desai,Payment Gateways,B2C AND C2C,BOOKS,Cancelled,IN TRANSIT,31073,8545075,4660.95,15%,18%,1538113.5,8540414.05,26412.05,7006961.5,05-01-2023,09-01-2023,3.6,Direct,yes,DTDC,31073,Seoul,RETURNING,Next-Day Delivery,Academic & Educational,South Korean Won,yes,Influencer Marketing,no,WORST,310.73,Card EMI,39
India,2.4,175,6,Flipkart,Mira Nakamura,UPI,B2C AND C2C,BOOKS,Pending,DELIVERED,37949,6641075,5692.35,15%,18%,1195393.5,6635382.65,32256.65,5445681.5,06-01-2023,10-01-2023,4.5,Social Media,no,Shadowfax,37949,Mumbai,NEW,International Delivery,Children’s Books,Indian Rupee,no,Social Media,yes,BAD,379.49,Debit Card EMI,32
Germany,2.1,178,7,media market,Jonah Kim,BNPL,B2C,gaming,Refunded,IN TRANSIT,41029,7303162,6154.35,15%,18%,1314569.16,7297007.65,34874.65,5988592.84,07-01-2023,11-01-2023,2.4,Website,no,DHL Express,41029,Berlin,RETURNING,International Delivery,PlayStation,Euro,yes,YouTube ads,no,GOOD,410.29,Bank EMI,41
Indonesia,1.2,147,8,Shopee,Arjun Mohammed,COD,B2C AND C2C,clothing,Cancelled,RETURNED,39011,5734617,5851.65,15%,18%,1032231.06,5728765.35,33159.35,4702385.94,08-01-2023,12-01-2023,4,app,yes,Shadowfax,39011,Jakarta,NEW,Next-Day Delivery,Dresses,Indonesian Rupiah,no,google ads,yes,EXCELLENT,390.11,BNPL (Buy Now Pay Later),33
Canada,1.5,174,9,Walmart CA,Luca Atkinson,Payment Gateways,B2C,Grocery,Failed,DELIVERED,35415,6162210,5312.25,15%,18%,1109197.8,6156897.75,30102.75,5053012.2,09-01-2023,13-01-2023,5,app,yes,DHL Express,35415,Toronto,RETURNING,Scheduled Delivery,Fruits & Vegetables,Dollar,yes,email,no,GOOD,354.15,EMI Declined,23
Australia,1,200,10,Woolworths,Zara Zuniga,Net Banking,B2C,pet supplies,Refunded,IN TRANSIT,42454,8490800,6368.1,15%,18%,1528344,8484431.9,36085.9,6962456,10-01-2023,14-01-2023,2.1,Social Media,no,Xpressbees,42454,Sydney,NEW,Locker Delivery,Dog Food,Dollar,no,Influencer blogs,yes,BAD,424.54,BNPL (Buy Now Pay Later),42
Brazil,1.3,126,11,Mercado Livre,Lyra Qureshi,Debit Card,B2C AND C2C,auto parts,Cancelled,IN TRANSIT,48637,6128262,7295.55,15%,18%,1103087.16,6120966.45,41341.45,5025174.84,11-01-2023,15-01-2023,1.6,Website,yes,Blue Dart,48637,São Paulo,RETURNING,EXPRESS,Engine & Components,Brazilian Real,yes,Influencer Marketing,no,EXCELLENT,486.37,Debit Card EMI,50
Mexico,1.2,246,12,Liverpool,Amir Khan,Digital Wallets,B2C,Apparel,Paid,DELIVERED,41580,10228680,6237,15%,18%,1841162.4,10222443,35343,8387517.6,12-01-2023,16-01-2023,2.7,Direct,no,FedEx,41580,Mexico City,NEW,STANDARD,Baby & Toddler,Mexican Peso,no,Social Media,yes,WORST,415.8,Not Available,21
italy,0.8,146,13,ePrice,Indira Romano,BNPL,B2C,computers,Pending,RETURNED,24386,3560356,3657.9,15%,18%,640864.08,3556698.1,20728.1,2919491.92,13-01-2023,17-01-2023,3.8,Direct,yes,DTDC,24386,Milan,RETURNING,EXPRESS,Desktops,Euro,yes,directly,no,EXCELLENT,243.86,YES,40
Russia,0.7,278,14,Wildberries,Saanvi Noorani,UPI,B2C AND C2C,computers,Paid,IN TRANSIT,28678,7972484,4301.7,15%,18%,1435047.12,7968182.3,24376.3,6537436.88,14-01-2023,18-01-2023,4.9,Website,no,Ecom Express,28678,Sydney,RETURNING,STANDARD,Laptops & Notebooks,Russian Ruble,no,Influencer blogs,yes,BAD,286.78,NO,47
Spain,0.7,229,15,El Corte Inglés,Imani Alston,Digital Wallets,B2C,Luxury goods,Cancelled,DELIVERED,30522,6989538,4578.3,15%,18%,1258116.84,6984959.7,25943.7,5731421.16,15-01-2023,19-01-2023,3.3,Website,yes,Ecom Express,30522,Madrid,RETURNING,Locker Delivery,Designer Handbags,Euro,yes,Influencer Marketing,no,GOOD,305.22,CARD EMI,38
Turkey,0.6,109,16,Trendyol,Anjali Fontaine,Credit Card,B2C,fashion,Pending,DELIVERED,22600,2463400,3390,15%,18%,443412,2460010,19210,2019988,16-01-2023,20-01-2023,1.2,Social Media,yes,Shadowfax,22600,Istanbul,NEW,Next-Day Delivery,Sneakers,Turkish Lira,no,Social Media,yes,EXCELLENT,226,Bank EMI,43
